ARTIST_ID,ALBUM_ID,ALBUM_NAME,ALBUM_YEAR,ALBUM_POPULARITY
7gS8ozSkvPW3VBPLnXOZ7S,7gS8ozSkvPW3VBPLnXOZ7S,"Houses Of The Holy (Deluxe Edition)",2014,64
44Ig8dzqOkvkGDzaUof9lK,44Ig8dzqOkvkGDzaUof9lK,"Led Zeppelin IV (Deluxe Edition)",2014,63
4xGEiQ7La4japmGrREeLlw,4xGEiQ7La4japmGrREeLlw,"Led Zeppelin III (Remastered Deluxe Edition)",2014,62
58N1RPC3B4mRkjBaug4u3X,58N1RPC3B4mRkjBaug4u3X,"Led Zeppelin II (Remastered Deluxe Edition)",2014,59
22BzOOZKYZ2jYYKLpOlnET,22BzOOZKYZ2jYYKLpOlnET,"Led Zeppelin (Remastered Deluxe Edition)",2014,57
0kTe1sQd9yhDsdG2Zth7X6,0kTe1sQd9yhDsdG2Zth7X6,"Celebration Day",2012,53
6Xuiq6IfuvIhBXBlFz76On,6Xuiq6IfuvIhBXBlFz76On,"Mothership",2007,62
39BE5332FUDi2TIYD84hm2,39BE5332FUDi2TIYD84hm2,"How The West Was Won",2003,49
61Qn5YwV7doXt2R3AI971s,61Qn5YwV7doXt2R3AI971s,"BBC Sessions",1997,51
5WRmchevXvk5eXPT0gEuTL,5WRmchevXvk5eXPT0gEuTL,"Coda",1982,44
4wVHvawxZy52Oemd4sGyUm,4wVHvawxZy52Oemd4sGyUm,"In Through The Out Door",1979,54
4RlAfzZ4iwr4jQa7Ar9i6t,4RlAfzZ4iwr4jQa7Ar9i6t,"The Song Remains The Same",1976,49
3xiPkaTzfC48CcsXYgz5v0,3xiPkaTzfC48CcsXYgz5v0,"Presence",1976,49
1lZahjeu4AhPkg9JARZr5F,1lZahjeu4AhPkg9JARZr5F,"Physical Graffiti",1975,64
0GqpoHJREPp0iuXK3HzrHk,0GqpoHJREPp0iuXK3HzrHk,"Houses Of The Holy (Remastered)",1973,50
5phxHbK2GSr7hEu4orLywP,5phxHbK2GSr7hEu4orLywP,"Houses Of The Holy",1973,57
5EyIDBAqhnlkAHqvPRwdbX,5EyIDBAqhnlkAHqvPRwdbX,"Led Zeppelin IV (Remastered Version)",1971,48
1Ugdi2OTxKopVVqsprp5pb,1Ugdi2OTxKopVVqsprp5pb,"Led Zeppelin IV",1971,73
6P5QHz4XtxOmS5EuiGIPut,6P5QHz4XtxOmS5EuiGIPut,"Led Zeppelin III (Remastered)",1970,51
1u5BsuBK45mLwrbqdASN3g,1u5BsuBK45mLwrbqdASN3g,"Led Zeppelin III",1970,64
